Cell_ID,Batch_ID,Production_Line,Shift,Supplier,Ambient_Temp_C,Anode_Overhang_mm,Electrolyte_Volume_ml,Internal_Resistance_mOhm,Capacity_mAh,Retention_50Cycle_Pct,Defect_Type
CELL-012385,BTH-0145,Line_2,Night,ChemCorp,20.92,0.158,14.92,14.18,5042,97.37,None
CELL-017836,BTH-0162,Line_2,Evening,ChemCorp,24.61,0.168,14.95,13.89,5040,97.22,None
CELL-011326,BTH-0466,Line_3,Evening,VoltIndustries,25.9,0.106,14.92,14.52,4978,97.16,None
CELL-008295,BTH-0490,Line_1,Evening,ChemCorp,21.4,0.128,15.01,14.16,5053,96.74,None
CELL-007605,BTH-0447,Line_3,Night,ChemCorp,21.75,0.119,14.8,14.89,4984,97.57,None
CELL-013343,BTH-0326,Line_3,Evening,VoltIndustries,21.66,0.139,15.02,14.24,5023,96.19,None
CELL-014087,BTH-0187,Line_1,Evening,LithioMat,22.89,0.146,15.0,13.32,4927,98.38,None
CELL-012380,BTH-0375,Line_1,Evening,ChemCorp,24.05,0.103,14.73,15.27,5014,95.59,High Internal Resistance
CELL-003449,BTH-0393,Line_3,Evening,ChemCorp,23.81,0.134,14.99,13.61,5000,96.9,None
CELL-005062,BTH-0209,Line_2,Evening,VoltIndustries,22.44,0.161,15.04,15.43,4987,96.52,High Internal Resistance
CELL-010671,BTH-0103,Line_2,Morning,VoltIndustries,25.73,0.154,14.77,15.96,4872,95.12,High Internal Resistance
CELL-018693,BTH-0109,Line_2,Night,ChemCorp,22.6,0.14,15.08,14.2,5008,96.51,None
CELL-017335,BTH-0334,Line_2,Evening,VoltIndustries,24.8,0.125,15.0,15.69,4889,93.76,High Internal Resistance
CELL-011073,BTH-0271,Line_2,Evening,VoltIndustries,24.88,0.145,15.07,14.23,5014,97.13,None
CELL-001337,BTH-0225,Line_3,Evening,ChemCorp,25.74,0.159,14.57,15.78,4858,93.26,High Internal Resistance
CELL-013327,BTH-0042,Line_1,Morning,LithioMat,25.79,0.146,14.79,15.76,4889,90.87,High Internal Resistance
CELL-009394,BTH-0361,Line_1,Morning,LithioMat,22.54,0.142,15.04,13.92,5014,98.23,None
CELL-019846,BTH-0450,Line_2,Evening,ChemCorp,24.49,0.147,14.99,13.01,4966,97.17,None
CELL-011146,BTH-0068,Line_2,Night,LithioMat,18.07,0.144,14.95,13.71,4980,97.22,None
CELL-010209,BTH-0185,Line_1,Evening,LithioMat,22.72,0.142,15.02,14.05,5066,97.36,None
CELL-018268,BTH-0168,Line_3,Night,ChemCorp,21.27,0.162,15.11,15.17,4928,96.43,High Internal Resistance
CELL-013572,BTH-0064,Line_1,Night,VoltIndustries,23.06,0.178,15.06,15.37,4928,96.57,High Internal Resistance
CELL-006845,BTH-0416,Line_1,Night,LithioMat,20.2,0.14,14.94,13.81,5032,96.54,None
CELL-013812,BTH-0017,Line_1,Morning,ChemCorp,20.07,0.104,14.96,13.66,5002,98.67,Poor Retention
CELL-005602,BTH-0324,Line_3,Morning,ChemCorp,23.57,0.139,14.95,14.47,4950,97.48,None
CELL-017325,BTH-0095,Line_1,Morning,ChemCorp,21.09,0.14,14.93,14.68,4976,98.23,None
